apoptotic process,GO:0006915
negative regulation of odontogenesis,GO:0042483
nitrogen cycle metabolic process,GO:0071941
positive regulation of fibroblast apoptotic process,GO:2000271
proximal/distal pattern formation,GO:0009954
regulation of attachment of spindle microtubules to kinetochore,GO:0051988
regulation of cell differentiation,GO:0045595
regulation of osteoclast differentiation,GO:0045670
amyloid-beta clearance,GO:0097242
amyloid-beta clearance by cellular catabolic process,GO:0150094
cellular response to UV-A,GO:0071492
creatinine metabolic process,GO:0046449
neuropeptide processing,GO:0061837
cellular response to nicotine,GO:0071316
response to ATP,GO:0033198
response to resveratrol,GO:1904638
ventricular cardiac muscle tissue development,GO:0003229
centrosome localization,GO:0051642
cytoplasm organization,GO:0007028
plus-end-directed vesicle transport along microtubule,GO:0072383
"regulation of modification of synapse structure, modulating synaptic transmission",GO:0098987
stress granule disassembly,GO:0035617
hair cycle,GO:0042633
response to radiation,GO:0009314
alveolar secondary septum development,GO:0061144
bone maturation,GO:0070977
central nervous system myelination,GO:0022010
digestive tract morphogenesis,GO:0048546
fibroblast growth factor receptor apoptotic signaling pathway,GO:1902178
inner ear auditory receptor cell differentiation,GO:0042491
mitotic nuclear division,GO:0140014
negative regulation of developmental growth,GO:0048640
negative regulation of inner ear auditory receptor cell differentiation,GO:0045608
negative regulation of mitotic nuclear division,GO:0045839
negative regulation of neuroblast proliferation,GO:0007406
p38MAPK cascade,GO:0038066
positive regulation of phospholipase activity,GO:0010518
positive regulation of tyrosine phosphorylation of STAT protein,GO:0042531
regulation of collagen metabolic process,GO:0010712
substantia nigra development,GO:0021762
lysosomal lumen pH elevation,GO:0035752
melanin biosynthetic process from tyrosine,GO:0006583
dendritic spine organization,GO:0097061
monoamine transport,GO:0015844
regulation of synapse structure or activity,GO:0050803
cardiac muscle tissue development,GO:0048738
doxorubicin transport,GO:1900753
xenobiotic detoxification by transmembrane export across the plasma membrane,GO:1990961
positive regulation of excitatory synapse assembly,GO:1904891
T cell differentiation involved in immune response,GO:0002292
cellular response to angiotensin,GO:1904385
endochondral bone growth,GO:0003416
positive regulation of DNA-binding transcription factor activity,GO:0051091
positive regulation of hepatic stellate cell activation,GO:2000491
positive regulation of hepatic stellate cell proliferation,GO:1904899
regulation of tissue remodeling,GO:0034103
mast cell activation,GO:0045576
homoiothermy,GO:0042309
leukocyte mediated immunity,GO:0002443
regulation of extrinsic apoptotic signaling pathway,GO:2001236
regulation of vascular associated smooth muscle cell proliferation,GO:1904705
regulation of vascular endothelial cell proliferation,GO:1905562
vasoconstriction,GO:0042310
cerebral cortex GABAergic interneuron fate commitment,GO:0021893
forebrain neuron differentiation,GO:0021879
negative regulation of cellular response to transforming growth factor beta stimulus,GO:1903845
negative regulation of oligodendrocyte differentiation,GO:0048715
negative regulation of photoreceptor cell differentiation,GO:0046533
positive regulation of amacrine cell differentiation,GO:1902871
subpallium development,GO:0021544
negative regulation of MAP kinase activity,GO:0043407
negative regulation of signaling receptor activity,GO:2000272
peptidyl-tyrosine dephosphorylation involved in inactivation of protein kinase activity,GO:1990264
positive regulation of platelet activation,GO:0010572
glycerol catabolic process,GO:0019563
N-acetylneuraminate metabolic process,GO:0006054
protein N-linked glycosylation via asparagine,GO:0018279
sialylation,GO:0097503
glycoside catabolic process,GO:0016139
regulation of membrane lipid distribution,GO:0097035
"regulation of CD4-positive, alpha-beta T cell differentiation",GO:0043370
"regulation of CD8-positive, alpha-beta T cell proliferation",GO:2000564
"nuclear-transcribed mRNA catabolic process, no-go decay",GO:0070966
negative regulation of actin filament depolymerization,GO:0030835
negative regulation of cell-cell adhesion mediated by integrin,GO:0033633
positive regulation of actin filament bundle assembly,GO:0032233
positive regulation of mast cell chemotaxis,GO:0060754
regulation of actin polymerization or depolymerization,GO:0008064
somatic cell DNA recombination,GO:0016444
ciliary basal body-plasma membrane docking,GO:0097711
ciliary transition zone assembly,GO:1905349
otic vesicle formation,GO:0030916
pronephros development,GO:0048793
regulation of establishment of protein localization,GO:0070201
adenine nucleotide transport,GO:0051503
calcium import into the mitochondrion,GO:0036444
mitochondrial ATP transmembrane transport,GO:1990544
mitochondrial calcium ion transmembrane transport,GO:0006851
regulation of cellular hyperosmotic salinity response,GO:1900069
regulation of cellular respiration,GO:0043457
regulation of sequestering of calcium ion,GO:0051282
microtubule cytoskeleton organization involved in mitosis,GO:1902850
post-embryonic retina morphogenesis in camera-type eye,GO:0060060
regulation of protein localization to cilium,GO:1903564
retina homeostasis,GO:0001895
cytosolic ciliogenesis,GO:0061824
positive regulation of ubiquinone biosynthetic process,GO:1904775
phosphatidylcholine acyl-chain remodeling,GO:0036151
phosphatidylethanolamine acyl-chain remodeling,GO:0036152
phosphatidylserine acyl-chain remodeling,GO:0036150
negative regulation of osteoclast differentiation,GO:0045671
regulation of nucleocytoplasmic transport,GO:0046822
inner cell mass cell proliferation,GO:0001833
RNA polymerase II transcription initiation surveillance,GO:0160240
U2 snRNA 3'-end processing,GO:0034474
dense core granule maturation,GO:1990502
bleb assembly,GO:0032060
bone mineralization involved in bone maturation,GO:0035630
calcium activated galactosylceramide scrambling,GO:0061591
calcium activated phosphatidylcholine scrambling,GO:0061590
calcium activated phosphatidylserine scrambling,GO:0061589
calcium activated phospholipid scrambling,GO:0061588
chloride transport,GO:0006821
dendritic cell chemotaxis,GO:0002407
negative regulation of cell volume,GO:0045794
phospholipid translocation,GO:0045332
plasma membrane phospholipid scrambling,GO:0017121
positive regulation of monoatomic ion transmembrane transport,GO:0034767
"positive regulation of phagocytosis, engulfment",GO:0060100
positive regulation of potassium ion export across plasma membrane,GO:1903766
purinergic nucleotide receptor signaling pathway,GO:0035590
cardiac right ventricle formation,GO:0003219
nucleosome disassembly,GO:0006337
positive regulation of smooth muscle cell differentiation,GO:0051152
secondary heart field specification,GO:0003139
negative regulation of respiratory burst,GO:0060268
mitochondrial RNA catabolic process,GO:0000957
negative regulation of mitochondrial RNA catabolic process,GO:0000961
regulation of mitochondrial translation,GO:0070129
O-glycan processing,GO:0016266
protein localization to motile cilium,GO:0120229
inositol metabolic process,GO:0006020
inositol phosphate biosynthetic process,GO:0032958
proteasome assembly,GO:0043248
oocyte growth,GO:0001555
phosphatidylinositol-3-phosphate biosynthetic process,GO:0036092
response to L-leucine,GO:0043201
negative regulation of protein sumoylation,GO:0033234
"positive regulation of protein localization to chromosome, telomeric region",GO:1904816
cellular response to acetylcholine,GO:1905145
negative regulation of adenylate cyclase-activating adrenergic receptor signaling pathway,GO:0071878
negative regulation of arginine catabolic process,GO:1900082
negative regulation of cardiac muscle hypertrophy in response to stress,GO:1903243
negative regulation of cellular response to vascular endothelial growth factor stimulus,GO:1902548
negative regulation of citrulline biosynthetic process,GO:1903249
negative regulation of the force of heart contraction,GO:0098736
response to hydrostatic pressure,GO:0051599
urinary bladder smooth muscle contraction,GO:0014832
TORC2 signaling,GO:0038203
toll-like receptor 9 signaling pathway,GO:0034162
camera-type eye photoreceptor cell differentiation,GO:0060219
cannabinoid biosynthetic process,GO:1901696
diacylglycerol catabolic process,GO:0046340
monoacylglycerol biosynthetic process,GO:0006640
regulation of neuroinflammatory response,GO:0150077
ethanolamine transport,GO:0034229
positive regulation of fibroblast growth factor receptor signaling pathway,GO:0045743
positive regulation of kinase activity,GO:0033674
lncRNA catabolic process,GO:0110064
negative regulation of lncRNA transcription,GO:0140744
nuclear RNA surveillance,GO:0071027
2-oxoglutarate metabolic process,GO:0006103
amino acid metabolic process,GO:0006520
biosynthetic process,GO:0009058
kynurenine metabolic process,GO:0070189
L-kynurenine catabolic process,GO:0097053
female meiotic nuclear division,GO:0007143
"meiotic sister chromatid cohesion, centromeric",GO:0051754
meiotic spindle elongation,GO:0051232
mitotic sister chromatid separation,GO:0051306
regulation of meiotic cell cycle process involved in oocyte maturation,GO:1903538
regulation of myotube differentiation,GO:0010830
"negative regulation of mitochondrial electron transport, NADH to ubiquinone",GO:1902957
cellular response to radiation,GO:0071478
establishment of protein localization to mitochondrial membrane involved in mitochondrial fission,GO:0090152
hematopoietic stem cell migration,GO:0035701
lactate metabolic process,GO:0006089
negative regulation of mitochondrial membrane potential,GO:0010917
positive regulation of intrinsic apoptotic signaling pathway in response to DNA damage,GO:1902231
protein insertion into mitochondrial outer membrane,GO:0045040
regulation of mitochondrial fusion,GO:0010635
de novo centriole assembly involved in multi-ciliated epithelial cell differentiation,GO:0098535
multi-ciliated epithelial cell differentiation,GO:1903251
lipid import into cell,GO:0140354
ureteric bud invasion,GO:0072092
neural crest cell differentiation,GO:0014033
CUT catabolic process,GO:0071034
DNA deamination,GO:0045006
GABAergic neuron differentiation in basal ganglia,GO:0021858
tRNA wobble uridine modification,GO:0002098
epithelial fluid transport,GO:0042045
regulation of mRNA 3'-end processing,GO:0031440
metanephros morphogenesis,GO:0003338
catecholamine secretion,GO:0050432
dorsal/ventral axon guidance,GO:0033563
tangential migration from the subventricular zone to the olfactory bulb,GO:0022028
telencephalon cell migration,GO:0022029
cell-cell adhesion via plasma-membrane adhesion molecules,GO:0098742
Rho-activating G protein-coupled receptor signaling pathway,GO:0160221
negative regulation of establishment of T cell polarity,GO:1903904
negative regulation of protein localization to cell leading edge,GO:1905872
negative regulation of Rho guanyl-nucleotide exchange factor activity,GO:2001107
negative regulation of T cell migration,GO:2000405
positive regulation of neutrophil chemotaxis,GO:0090023
positive regulation of neutrophil extravasation,GO:2000391
positive regulation of transcription initiation by RNA polymerase II,GO:0060261
negative regulation of HRI-mediated signaling,GO:0141191
glomerular filtration,GO:0003094
positive regulation of leukocyte tethering or rolling,GO:1903238
sulfur compound metabolic process,GO:0006790
ingression involved in gastrulation with mouth forming second,GO:0055111
positive regulation of epithelial to mesenchymal transition,GO:0010718
regulation of gastrulation,GO:0010470
retinal cone cell development,GO:0046549
mitochondrial mRNA catabolic process,GO:0000958
mitochondrial mRNA surveillance,GO:0035946
mitochondrial ncRNA surveillance,GO:0035945
mitochondrial RNA 3'-end processing,GO:0000965
mitochondrial RNA surveillance,GO:2000827
positive regulation of mitochondrial RNA catabolic process,GO:0000962
positive regulation of autophagic cell death,GO:1904094
regulation of response to tumor cell,GO:0002834
regulation of double-strand break repair,GO:2000779
establishment of body hair planar orientation,GO:0048105
astral microtubule organization,GO:0030953
cortical microtubule organization,GO:0043622
establishment of centrosome localization,GO:0051660
membrane raft organization,GO:0031579
membrane repolarization during ventricular cardiac muscle cell action potential,GO:0098915
regulation of potassium ion export across plasma membrane,GO:1903764
regulation of potassium ion import,GO:1903286
regulation of protein localization to synapse,GO:1902473
tissue morphogenesis,GO:0048729
fusion of sperm to egg plasma membrane involved in single fertilization,GO:0007342
otolith mineralization completed early in development,GO:0031173
protein delipidation,GO:0051697
free ubiquitin chain polymerization,GO:0010994
positive regulation of cytokine production involved in immune response,GO:0002720
choline metabolic process,GO:0019695
proepicardium cell migration involved in pericardium morphogenesis,GO:0003345
postsynaptic density organization,GO:0097106
retrograde axonal transport,GO:0008090
hyaluronan metabolic process,GO:0030212
positive regulation of protein kinase C activity,GO:1900020
mitochondrial fusion,GO:0008053
chromosome passenger complex localization to kinetochore,GO:0072356
regulation of ruffle assembly,GO:1900027
Norrin signaling pathway,GO:0110135
ciliary basal body organization,GO:0032053
cellular response to L-leucine,GO:0071233
cellular response to leucine starvation,GO:1990253
glutaminyl-tRNA aminoacylation,GO:0006425
leucyl-tRNA aminoacylation,GO:0006429
sulfur oxidation,GO:0019417
estrogen receptor signaling pathway,GO:0030520
negative regulation of mitochondrial depolarization,GO:0051902
regulation of definitive erythrocyte differentiation,GO:0010724
regulation of mitochondrial gene expression,GO:0062125
photoreceptor cell differentiation,GO:0046530
photoreceptor cell morphogenesis,GO:0008594
adenylate cyclase-inhibiting dopamine receptor signaling pathway,GO:0007195
"blood coagulation, intrinsic pathway",GO:0007597
negative regulation of DNA-binding transcription factor activity,GO:0043433
positive regulation of axon regeneration,GO:0048680
regulation of actin filament bundle assembly,GO:0032231
regulation of membrane repolarization during atrial cardiac muscle cell action potential,GO:1905000
regulation of membrane repolarization during cardiac muscle cell action potential,GO:1905031
integrin activation,GO:0033622
lymphocyte migration into lymphoid organs,GO:0097021
positive regulation of CREB transcription factor activity,GO:0032793
positive regulation of respiratory burst,GO:0060267
regulation of granulocyte chemotaxis,GO:0071622
positive regulation of peptidyl-lysine acetylation,GO:2000758
apical junction assembly,GO:0043297
kidney epithelium development,GO:0072073
negative regulation of programmed cell death,GO:0043069
negative regulation of vitamin D receptor signaling pathway,GO:0070563
podocyte cell migration,GO:0090521
amelogenesis,GO:0097186
attachment of GPI anchor to protein,GO:0016255
GPI anchored protein biosynthesis,GO:0180046
organelle assembly,GO:0070925
negative regulation of dendritic spine morphogenesis,GO:0061002
neuron cell-cell adhesion,GO:0007158
positive regulation of AMPA receptor activity,GO:2000969
positive regulation of synaptic vesicle clustering,GO:2000809
presynaptic membrane assembly,GO:0097105
regulation of terminal button organization,GO:2000331
positive regulation of bone mineralization involved in bone maturation,GO:1900159
positive regulation of macrophage differentiation,GO:0045651
cellular response to cobalt ion,GO:0071279
"fructose 2,6-bisphosphate metabolic process",GO:0006003
glucose catabolic process to lactate via pyruvate,GO:0019661
negative regulation of glucose catabolic process to lactate via pyruvate,GO:1904024
positive regulation of cardiac muscle cell apoptotic process,GO:0010666
positive regulation of hexokinase activity,GO:1903301
regulation of pentose-phosphate shunt,GO:0043456
regulation of response to DNA damage checkpoint signaling,GO:1902153
phosphatidylserine exposure on apoptotic cell surface,GO:0070782
tolerance induction to self antigen,GO:0002513
intracellular zinc ion homeostasis,GO:0006882
lymphocyte activation,GO:0046649
leukocyte homeostasis,GO:0001776
maintenance of protein location in nucleus,GO:0051457
myeloid cell homeostasis,GO:0002262
negative regulation of appetite by leptin-mediated signaling pathway,GO:0038108
protein localization to photoreceptor outer segment,GO:1903546
regulation of cilium beat frequency involved in ciliary motility,GO:0060296
regulation of non-motile cilium assembly,GO:1902855
endosome fission,GO:0140285
meiotic spindle assembly,GO:0090306
regulation of actin nucleation,GO:0051125
centriole assembly,GO:0098534
negative regulation of centriole replication,GO:0046600
regulation of response to DNA integrity checkpoint signaling,GO:1902151
ectodermal cell differentiation,GO:0010668
embryonic ectodermal digestive tract development,GO:0048611
pancreatic A cell differentiation,GO:0003310
pancreatic D cell differentiation,GO:0003311
pancreatic epsilon cell differentiation,GO:0090104
type B pancreatic cell differentiation,GO:0003309
"negative regulation of CD4-positive, alpha-beta T cell proliferation",GO:2000562
negative regulation of cytoplasmic pattern recognition receptor signaling pathway,GO:0039532
positive regulation of receptor catabolic process,GO:2000646
positive regulation of T cell anergy,GO:0002669
protein K29-linked ubiquitination,GO:0035519
regulation of protein deubiquitination,GO:0090085
T cell anergy,GO:0002870
cristae formation,GO:0042407
mitochondrial calcium ion homeostasis,GO:0051560
negative regulation of protein localization,GO:1903828
sequestering of TGFbeta in extracellular matrix,GO:0035583
mitotic cell cycle phase transition,GO:0044772
positive regulation of maintenance of mitotic sister chromatid cohesion,GO:0034184
"protein localization to chromosome, centromeric region",GO:0071459
kinetochore organization,GO:0051383
meiotic chromosome condensation,GO:0010032
meiotic chromosome segregation,GO:0045132
mitotic chromosome condensation,GO:0007076
positive regulation of chromosome condensation,GO:1905821
positive regulation of chromosome separation,GO:1905820
single strand break repair,GO:0000012
isoleucine transport,GO:0015818
L-amino acid transport,GO:0015807
methionine transport,GO:0015821
negative regulation of L-leucine import across plasma membrane,GO:1905533
phenylalanine transport,GO:0015823
oxidation-dependent protein catabolic process,GO:0070407
response to aluminum ion,GO:0010044
kidney smooth muscle cell differentiation,GO:0072195
musculoskeletal movement,GO:0050881
sensory perception of touch,GO:0050975
ureter smooth muscle cell differentiation,GO:0072193
ureteric peristalsis,GO:0072105
actin ubiquitination,GO:0007014
cellular response to stress,GO:0033554
negative regulation of keratinocyte apoptotic process,GO:1902173
negative regulation of viral transcription,GO:0032897
positive regulation of chemokine (C-C motif) ligand 20 production,GO:1903886
positive regulation of interleukin-17-mediated signaling pathway,GO:1903883
positive regulation of striated muscle cell differentiation,GO:0051155
anterior neuropore closure,GO:0021506
neural fold formation,GO:0001842
regulation of cell fate specification,GO:0042659
pancreatic juice secretion,GO:0030157
protein localization to axon,GO:0099612
protein localization to cell leading edge,GO:1902463
carboxylic acid catabolic process,GO:0046395
long-chain fatty acid metabolic process,GO:0001676
embryonic brain development,GO:1990403
regulation of tumor necrosis factor production,GO:0032680
vesicle tethering to Golgi,GO:0099041
intracellular lipid transport,GO:0032365
modulation by host of viral RNA genome replication,GO:0044830
response to other organism,GO:0051707
mitochondrial mRNA polyadenylation,GO:0097222
mitochondrial RNA 5'-end processing,GO:0000964
nuclear polyadenylation-dependent mRNA catabolic process,GO:0071042
positive regulation of miRNA catabolic process,GO:2000627
positive regulation of mRNA catabolic process,GO:0061014
RNA import into mitochondrion,GO:0035927
rRNA import into mitochondrion,GO:0035928
centriole replication,GO:0007099
regulation of mitotic cell cycle spindle assembly checkpoint,GO:0090266
regulation of T-helper 1 cell differentiation,GO:0045625
response to Gram-positive bacterium,GO:0140459
positive regulation of protein autoubiquitination,GO:1902499
coenzyme A biosynthetic process,GO:0015937
Golgi to plasma membrane transport,GO:0006893
protein localization to ciliary membrane,GO:1903441
positive regulation of cellular respiration,GO:1901857
positive regulation of endopeptidase activity,GO:0010950
positive regulation of phospholipid transport,GO:2001140
positive regulation of T cell apoptotic process,GO:0070234
positive regulation of transporter activity,GO:0032411
cellular respiration,GO:0045333
"mitochondrial electron transport, ubiquinol to cytochrome c",GO:0006122
adherens junction maintenance,GO:0034334
epithelial cell proliferation involved in renal tubule morphogenesis,GO:2001013
magnesium ion homeostasis,GO:0010960
metanephric tubule development,GO:0072170
nephron tubule epithelial cell differentiation,GO:0072160
renal tubule morphogenesis,GO:0061333
establishment of protein localization to telomere,GO:0070200
postsynaptic neurotransmitter receptor internalization,GO:0098884
negative regulation of triglyceride metabolic process,GO:0090209
regulation of Golgi lumen acidification,GO:1905526
regulation of smooth muscle contraction,GO:0006940
synaptic transmission involved in micturition,GO:0060084
positive regulation of cobalamin metabolic process,GO:0106121
regulation of cobalamin metabolic process,GO:0106064
protein neddylation,GO:0045116
Golgi to endosome transport,GO:0006895
protein K33-linked ubiquitination,GO:1990390
T cell extravasation,GO:0072683
receptor catabolic process,GO:0032801
Arp2/3 complex-mediated actin nucleation,GO:0034314
dendritic cell antigen processing and presentation,GO:0002468
endosome to plasma membrane protein transport,GO:0099638
low-density lipoprotein particle clearance,GO:0034383
positive regulation of cholesterol import,GO:1904109
oligodendrocyte progenitor proliferation,GO:0070444
regulation of cardiac muscle hypertrophy,GO:0010611
corticosterone secretion,GO:0035934
"post-translational protein targeting to membrane, translocation",GO:0031204
SRP-dependent cotranslational protein targeting to membrane,GO:0006614
heterochromatin organization,GO:0070828
peptidyl-lysine dimethylation,GO:0018027
peptidyl-lysine monomethylation,GO:0018026
inositol biosynthetic process,GO:0006021
fatty acid catabolic process,GO:0009062
epidermal cell differentiation,GO:0009913
glycine catabolic process,GO:0006546
glycine decarboxylation via glycine cleavage system,GO:0019464
response to lipoic acid,GO:1903442
response to methylamine,GO:0036255
apoptotic nuclear changes,GO:0030262
protein linear polyubiquitination,GO:0097039
regulation of CD40 signaling pathway,GO:2000348
regulation of tumor necrosis factor-mediated signaling pathway,GO:0010803
negative regulation of myotube differentiation,GO:0010832
icosanoid metabolic process,GO:0006690
positive regulation of triglyceride catabolic process,GO:0010898
cranial suture morphogenesis,GO:0060363
negative regulation of fatty acid biosynthetic process,GO:0045717
negative regulation of steroid biosynthetic process,GO:0010894
response to fatty acid,GO:0070542
response to sterol depletion,GO:0006991
SREBP-SCAP complex retention in endoplasmic reticulum,GO:0036316
sterol biosynthetic process,GO:0016126
melanosome organization,GO:0032438
organelle organization,GO:0006996
protein transmembrane transport,GO:0071806
regulation of JUN kinase activity,GO:0043506
modulation of inhibitory postsynaptic potential,GO:0098828
response to acetylcholine,GO:1905144
negative regulation of endocytic recycling,GO:2001136
cell-cell recognition,GO:0009988
glycolipid biosynthetic process,GO:0009247
ammonia assimilation cycle,GO:0019676
arginine biosynthetic process via ornithine,GO:0042450
L-arginine biosynthetic process,GO:0006526
urea cycle,GO:0000050
positive regulation of histamine secretion by mast cell,GO:1903595
negative regulation of endoplasmic reticulum stress-induced eIF2 alpha phosphorylation,GO:1903912
negative regulation of translation in response to endoplasmic reticulum stress,GO:1902010
positive regulation of translation initiation in response to endoplasmic reticulum stress,GO:0036494
triglyceride biosynthetic process,GO:0019432
glucose 1-phosphate metabolic process,GO:0019255
UDP-alpha-D-glucose metabolic process,GO:0006011
UDP-glucuronate biosynthetic process,GO:0006065
adult feeding behavior,GO:0008343
phosphatidylethanolamine metabolic process,GO:0046337
triglyceride mobilization,GO:0006642
biotin metabolic process,GO:0006768
response to biotin,GO:0070781
error-prone translesion synthesis,GO:0042276
negative regulation of IRE1-mediated unfolded protein response,GO:1903895
regulation of chromosome segregation,GO:0051983
cell junction assembly,GO:0034329
adaptive thermogenesis,GO:1990845
cold-induced thermogenesis,GO:0106106
L-ascorbic acid metabolic process,GO:0019852
motor learning,GO:0061743
negative regulation of excitatory synapse assembly,GO:1904890
negative regulation of lipid droplet fusion,GO:0160078
positive regulation of protein localization to synapse,GO:1902474
regulation of excitatory synapse assembly,GO:1904889
protein retention in ER lumen,GO:0006621
T cell apoptotic process,GO:0070231
ceramide metabolic process,GO:0006672
phospholipid dephosphorylation,GO:0046839
positive regulation of homotypic cell-cell adhesion,GO:0034112
regulation of sphingolipid mediated signaling pathway,GO:1902068
AMPA glutamate receptor clustering,GO:0097113
AMPA selective glutamate receptor signaling pathway,GO:0098990
cell-cell adhesion involved in synapse maturation,GO:0090125
cytoskeletal matrix organization at active zone,GO:0048789
neurexin clustering involved in presynaptic membrane assembly,GO:0097115
NMDA glutamate receptor clustering,GO:0097114
NMDA selective glutamate receptor signaling pathway,GO:0098989
"positive regulation of circadian sleep/wake cycle, wakefulness",GO:0010841
positive regulation of neuromuscular synaptic transmission,GO:1900075
positive regulation of synaptic vesicle endocytosis,GO:1900244
positive regulation of synaptic vesicle exocytosis,GO:2000302
postsynaptic density protein 95 clustering,GO:0097119
receptor localization to synapse,GO:0097120
terminal button organization,GO:0072553
spliceosomal complex assembly,GO:0000245
spliceosomal tri-snRNP complex assembly,GO:0000244
cytoplasmic translational initiation,GO:0002183
male germ cell proliferation,GO:0002176
negative regulation of protein kinase activity by regulation of protein phosphorylation,GO:0044387
negative regulation of protein serine/threonine kinase activity,GO:0071901
positive regulation of reticulophagy,GO:0140501
protein ufmylation,GO:0071569
regulation of cyclin-dependent protein serine/threonine kinase activity,GO:0000079
regulation of phosphatase activity,GO:0010921
DNA replication-dependent chromatin assembly,GO:0006335
diadenosine tetraphosphate biosynthetic process,GO:0015966
lysyl-tRNA aminoacylation,GO:0006430
negative regulation of acute inflammatory response to antigenic stimulus,GO:0002865
negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway,GO:1902236
negative regulation of macrophage apoptotic process,GO:2000110
regulation of nitric oxide metabolic process,GO:0080164
"retrograde protein transport, ER to cytosol",GO:0030970
cellular response to ATP,GO:0071318
positive regulation of monoatomic ion transport,GO:0043270
regulation of microglial cell migration,GO:1904139
visual system development,GO:0150063
cerebellar Purkinje cell layer morphogenesis,GO:0021692
glutamatergic neuron differentiation,GO:1905962
limbic system development,GO:0021761
negative regulation of neuronal action potential,GO:1904456
"neuromuscular junction development, skeletal muscle fiber",GO:0098529
neuron recognition,GO:0008038
response to interleukin-17,GO:0097396
response to metformin,GO:1901558
response to odorant,GO:1990834
rhythmic behavior,GO:0007622
negative regulation of ATP metabolic process,GO:1903579
negative regulation of fatty acid transport,GO:2000192
peroxisome fission,GO:0016559
COPII vesicle coating,GO:0048208
vesicle coating,GO:0006901
vesicle tethering,GO:0099022
positive regulation of viral translation,GO:1904973
regulation of autophagosome maturation,GO:1901096
5-phosphoribose 1-diphosphate biosynthetic process,GO:0006015
nucleotide biosynthetic process,GO:0009165
pentose-phosphate shunt,GO:0006098
ribonucleoside monophosphate biosynthetic process,GO:0009156
gephyrin clustering involved in postsynaptic density assembly,GO:0097116
neuroligin clustering involved in postsynaptic membrane assembly,GO:0097118
presynapse assembly,GO:0099054
regulation of grooming behavior,GO:2000821
cellular response to misfolded protein,GO:0071218
protein localization to cytosolic proteasome complex,GO:1904327
regulation of cell-substrate adhesion,GO:0010810
sister chromatid cohesion,GO:0007062
mitochondrial outer membrane permeabilization,GO:0097345
organelle transport along microtubule,GO:0072384
regulation of lysosome size,GO:0062196
arginine catabolic process,GO:0006527
citrulline metabolic process,GO:0000052
nitric oxide biosynthetic process,GO:0006809
regulation of systemic arterial blood pressure,GO:0003073
"regulation of nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",GO:2000622
sodium-dependent organic anion transport,GO:0043251
ameboidal-type cell migration,GO:0001667
centromere complex assembly,GO:0034508
pericentric heterochromatin formation,GO:0031508
"mitochondrial electron transport, succinate to ubiquinone",GO:0006121
regulation of catecholamine secretion,GO:0050433
steroid biosynthetic process,GO:0006694
negative regulation of extracellular matrix assembly,GO:1901202
glycyl-tRNA aminoacylation,GO:0006426
tRNA aminoacylation for protein translation,GO:0006418
long-chain fatty acid import into cell,GO:0044539
positive regulation of Golgi to plasma membrane protein transport,GO:0042998
positive regulation of phosphatidylcholine biosynthetic process,GO:2001247
positive regulation of secretion,GO:0051047
very-low-density lipoprotein particle assembly,GO:0034379
cornea development in camera-type eye,GO:0061303
negative regulation of macrophage cytokine production,GO:0010936
COPI-coated vesicle budding,GO:0035964
cytosol to ERGIC protein transport,GO:0106273
positive regulation of interleukin-1 production,GO:0032732
protein localization to ERGIC,GO:0106272
regulation of amyloid-beta formation,GO:1902003
"vesicle targeting, to, from or within Golgi",GO:0048199
L-lysine catabolic process to acetyl-CoA via saccharopine,GO:0033512
succinyl-CoA metabolic process,GO:0006104
regulation of heart rate by chemical signal,GO:0003062
germinal center B cell differentiation,GO:0002314
mesenchymal cell proliferation involved in lung development,GO:0060916
negative regulation of mesenchymal cell proliferation,GO:0072201
negative regulation of platelet-derived growth factor receptor-alpha signaling pathway,GO:2000584
positive regulation of establishment of protein localization,GO:1904951
regulation of vascular endothelial growth factor signaling pathway,GO:1900746
intracellular distribution of mitochondria,GO:0048312
negative regulation of activin receptor signaling pathway,GO:0032926
positive regulation of activin receptor signaling pathway,GO:0032927
regulation of nitric oxide biosynthetic process,GO:0045428
dolichol-linked oligosaccharide biosynthetic process,GO:0006488
positive regulation of protein localization to membrane,GO:1905477
extracellular transport,GO:0006858
negative regulation of potassium ion export across plasma membrane,GO:1903765
negative regulation of protein transport,GO:0051224
negative regulation of triglyceride storage,GO:0010891
protein K6-linked ubiquitination,GO:0085020
regulation of androgen receptor signaling pathway,GO:0060765
negative regulation of exit from mitosis,GO:0001100
positive regulation of endothelial cell apoptotic process,GO:2000353
positive regulation of extracellular matrix assembly,GO:1901203
positive regulation of extracellular matrix constituent secretion,GO:0003331
positive regulation of mitotic nuclear division,GO:0045840
protein folding in endoplasmic reticulum,GO:0034975
asparagine transport,GO:0006867
cellular response to potassium ion starvation,GO:0051365
glutamine secretion,GO:0010585
glutamine transport,GO:0006868
histidine transport,GO:0015817
intracellular amino acid homeostasis,GO:0080144
L-asparagine import across plasma membrane,GO:1903811
L-glutamine import across plasma membrane,GO:1903803
L-histidine import across plasma membrane,GO:1903810
L-histidine transport,GO:1902024
positive regulation of glutamine transport,GO:2000487
protein desumoylation,GO:0016926
B cell chemotaxis,GO:0035754
insulin metabolic process,GO:1901142
IRE1-mediated unfolded protein response,GO:0036498
"mRNA splicing, via endonucleolytic cleavage and ligation",GO:0070054
positive regulation of endoplasmic reticulum unfolded protein response,GO:1900103
